,Gene,IEI_Interactor
0,FECH,"ABCB7, ABCB7, ATM, C1QBP, IL12RB1, TRAP1"
1,APP,"ABCB7, AICDA, ANKZF1, APOA1, APOA1, APOA1, APP, APP, APP, APP, APP, APP, ARPC1B, BLOC1S6, BTK, CCDC40, CDCA7, CFAP298, CFHR2, CHEK2, CLU, CLU, CLU, CLU, CREBBP, DCLK1, DEF6, F11, F11, FAAP100, FAAP24, FANCI, FANCM, FBF1, FCGR3A, FCHO1, FERMT3, GIMAP6, GLRX5, GSN, GSN, GTF2E2, HAVCR2, HCK, HELLS, HSPA9, IFIH1, IGHM, IL18RAP, IL7, ITGAM, ITGB3, JAGN1, KRAS, KRAS, LCP2, MAPK8, MAPK8, MCM10, MPI, NCSTN, NF1, NLRP2, NME8, NRAS, PGM3, PIK3R5, POLR3C, PRKCD, PSEN1, PSMB4, RAB27A, RAD51C, RAP1B, RBCK1, RBM8A, RET, RFWD3, RGS10, RPL36, RPS10, RPS14, RPS19, RPS26, RPS27A, RSPH3, SAMHD1, SASH3, SCO2, SHOC2, SLC2A2, SLX4, SMAD3, SPINT2, STAT5B, STN1, STX11, SYK, TAP2, TASP1, TBK1, TCN2, TGFB1, TGFB1, TGFB2, TGFBR2, TRAP1, UNG, VSIG4, VTN, ZAP70, ZCCHC8"
2,MRPL10,"ABCB7, C1QBP, C4BPB, KRAS, RECQL4, REL, RIT1, RPL19"
3,ATP6V1D,"ABCB7, COG6, KRAS, KRAS, RIT1, RPS15, TCIRG1"
4,PDCD6,"ABCB7, CDKN2A, CFTR, FAS, FAS, FERMT3, HSPA9, KIF23, RC3H1, SH3KBP1, TP53"
5,NDUFB6,ABCB7
6,UQCRC1,"ABCB7, APP, CFTR, FANCD2, HSPA1L, KRAS, KRAS, PCCB, PSMB10, RAC2, RIT1, TP63, TPP1"
7,MTCH1,"ABCB7, NLRP3, RAC1, VSIG4"
8,EPRS1,"ABCB7, BRAF, BRCA1, CDC42, CDC42, CFTR, ISG15, KIF23, KRAS, KRAS, KRAS, KRAS, PTEN, RECQL4, RIT1, TGFB1, TP53"
9,RPN1,"ABCB7, ATAD3A, CDC42, CDK9, CDK9, CFTR, DOCK8, EP300, FANCD2, KIF23, KRAS, LRRC32, MECOM, POLD1, RAC1, RAC2, RBM8A, RC3H1, RECQL4, RELA, RHOG, RHOH, RIT1, TFRC, TFRC, TGFB1, TP53, UNC93B1"
10,AURKA,"ABCB7, APP, ARPC1B, ARPC1B, BRAF, BRCA1, BRCA1, FANCA, IKBKB, IKBKB, KRAS, MYSM1, NFKB1, NFKBIA, PPP1CB, PPP1CB, RELA, RIT1, TCF3, TNFAIP3, TP53, TP53, TP53, TP53, TP53, TP53, TP53, TP53"
11,HSCB,"ABCB7, KRAS, KRAS, RIT1"
12,LONP1,"ABCB7, C1QBP, C1QBP, CDC42, CDC42, GATA1, GATA2, GATA3, KIF23, KRAS, NFKBID, OFD1, PSMA3, RAC1, RAC2, RECQL4, RHOG, RHOH, RIT1, TPP1, TRAP1"
13,MBTPS2,"ABCB7, ATP6AP1, IL17RC, KDM1A, KRAS, RIT1"
14,MED23,"ABCB7, CCNK, CTNNBL1, PSMB10, RELA, STN1, TP53"
15,MICOS10,"ABCB7, GFI1B, PCCB"
16,NUBP1,"ABCB7, COPA, KRAS, RIT1"
17,LTO1,"ABCB7, KRAS, RIT1"
18,PITRM1,"ABCB7, DDX41, HTRA2, TERF2"
19,TAF2,"ABCB7, ELF4, GFI1B, ISG15, KRAS, NRAS, POLD1, RIT1, RPL5, SMAD3, TERF2, UBR5"
20,XAB2,"ABCB7, CTNNBL1, EP300, FANCD2, KRAS, RC3H1, TERF2IP, TP53, USB1, USB1, USB1"
21,ABCG8,ABCG5
22,AKT2,"ABCG8, KRAS, LYN, PRKDC, PRKDC"
23,ANG,"ABCG8, ATP6AP1, PTEN, TP53"
24,NR4A1,"ABCG8, ATM, CHEK2, EP300, MAPK8, MAPK8, NFKB1, SMAD3, TP53"
25,LMNB1,"ABCG8, AIRE, BRCA1, CDC42, CDK9, CFTR, CHEK2, FANCD2, KRAS, KRAS, NLRP7, PTEN, RAC1, RAC1, RAC2, RAD51, RECQL4, RHOG, RHOH, RUNX1, STIM1, TFRC, TFRC, TP53"
26,AGPAT2,"ABCG8, FPR2, GP9, TNFSF13, UNC93B1, VSIG4"
27,NUPR1,ABCG8
28,MAL2,"ABCG8, GAD1, GAD1"
29,TSPAN3,"ABCG8, ABCG8, C5AR1, TP53"
30,PTPRD,"ABCG8, ABCG8, ICOSLG, ICOSLG, IL2RG, IL2RG, TGFBR2"
31,CD320,"ABCG8, ABCG8, ALG6, CD4, CD4, IFNGR1, IFNGR1, IL2RG, IL2RG, RAC1, RHOG, TGFBR2, TGFBR2"
32,NOTCH3,"ABCG8, ABCG8, IFNGR1, IFNGR1, IL7"
33,TMEM184B,"ABCG8, CDC42, FPR2, PDCD1, RAC2"
34,TINF2,"ACD, ACD, ACD, ACD, ACD, BRCA1, BRCA1, DCLRE1B, KRAS, POT1, POT1, POT1, POT1, POT1, POT1, POT1, POT1, POT1, RIT1, TERF2, TERF2, TERF2, TERF2, TERF2, TERF2, TERF2IP, TERF2IP, TERF2IP, TERF2IP, TFRC, TFRC, TFRC, TINF2, TPP1, TPP1"
35,TERF1,"ACD, ATM, ATM, ATM, ATM, BLM, BRAF, BRCA1, BRCA1, BRCA1, DCLRE1B, DNAAF11, FANCD2, FANCD2, NBN, POT1, POT1, POT1, TCIRG1, TERF2, TERF2IP, TERF2IP, TINF2, TINF2, TINF2, TINF2, TINF2, TINF2, TINF2, TINF2, TINF2"
36,POT1,"ACD, ACD, ACD, ACD, ACD, ACD, ACD, ACD, BRCA1, BRCA1, CORO1A, DCLRE1B, KRAS, POT1, PRKCD, TERF2, TERF2, TERF2IP, TERF2IP, TERF2IP, TINF2, TINF2, TINF2, TINF2, TINF2, TINF2, TINF2, TINF2, TPP1, TPP1"
